heldout_fold,source_fp,flood_bin,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp1,fp4,25-50%,21,0.34166783883623986,0.337972216669998,0.2506382913666315,0.48618395901827355,1121507,381337,0.3400219526048433,0.02834008097165992
fp1,fp4,5-10%,26,0.0755434867536312,0.07706003994916596,0.05280266149831367,0.0970104839078881,1520118,113740,0.07482313873001964,0.03508771929824561
fp1,fp4,>50%,10,0.6738022665029912,0.6403354845181095,0.5220235717139433,0.8133251833740831,534294,355503,0.6653696279576413,0.01349527665317139
fp1,fp5,0-1%,15,0.0006349957015166272,0.0,0.0,0.006197465813574206,109483,322,0.002941095877898852,0.020242914979757085
fp1,fp5,1-5%,19,0.027941073633604104,0.028261002258438625,0.010044114728824168,0.047339264730569076,1163463,32390,0.027839303871287698,0.02564102564102564
fp1,fp5,10-25%,32,0.15026633952684257,0.1457177897973813,0.10067790399413705,0.24722616485814142,1896601,290984,0.15342394103978643,0.043184885290148446
fp1,fp5,25-50%,22,0.3320262296582694,0.323100049552034,0.2585538564844489,0.47842352797459076,1257283,414478,0.3296616593082067,0.029689608636977057
fp1,fp5,5-10%,22,0.0764860635290183,0.0767941449455963,0.05280266149831367,0.09923838886429891,1329411,101513,0.07635938020672313,0.029689608636977057
fp1,fp5,>50%,23,0.7042529943323388,0.7012786865234375,0.5058306367910129,0.993865966796875,1387242,976035,0.703579476399936,0.0310391363022942
fp1,fp6,0-1%,7,0.006914196333367155,0.007049775688955351,0.002999555621389424,0.009731567903914334,231802,1697,0.007320903184614456,0.009446693657219974
fp1,fp6,1-5%,16,0.03158408922303167,0.03271667476377591,0.010988603036715299,0.049808897722060846,861792,28304,0.032843191860681,0.021592442645074223
fp1,fp6,10-25%,30,0.16921787316338613,0.16635813526016532,0.10462633451957296,0.24009395424836602,1674784,282181,0.16848799606397005,0.04048582995951417
fp1,fp6,25-50%,33,0.34485438039697325,0.33633101763493395,0.2506382913666315,0.48618395901827355,2019540,698485,0.3458634144409123,0.044534412955465584
fp1,fp6,5-10%,20,0.07713848541787391,0.08071749298651795,0.05068033918359298,0.09691004806591898,1183608,92054,0.0777740603307852,0.02699055330634278
fp1,fp6,>50%,29,0.7409852272066068,0.7537979520097814,0.5069442320046499,0.9986722219678587,1526758,1086483,0.7116275139871545,0.03913630229419703
fp1,fp7,0-1%,3,0.004923502604166667,0.004241943359375,0.0013427734375,0.009185791015625,196608,968,0.004923502604166667,0.004048582995951417
fp1,fp7,1-5%,14,0.03336574567292529,0.03348590621368476,0.016265869140625,0.0487518310546875,917495,30613,0.03336584940517387,0.018893387314439947
fp1,fp7,10-25%,13,0.171326586131858,0.1809844970703125,0.1031458882688416,0.211029052734375,851660,145933,0.1713512434539605,0.017543859649122806
fp1,fp7,25-50%,21,0.34970892043340773,0.3498687744140625,0.2541656494140625,0.4925384521484375,1376256,481289,0.34970892043340773,0.02834008097165992
fp1,fp7,5-10%,23,0.06981955834692202,0.0655364990234375,0.050689697265625,0.09722900390625,1506867,105213,0.06982235326674484,0.0310391363022942
fp1,fp7,>50%,12,0.6868921915690104,0.66180419921875,0.5011138916015625,0.858062744140625,786432,540194,0.6868921915690104,0.016194331983805668
fp2,fp1,0-1%,8,0.00457763671875,0.0047454833984375,0.00030517578125,0.009246826171875,524288,2400,0.00457763671875,0.011111111111111112
fp2,fp1,1-5%,29,0.029347185637727605,0.02642822265625,0.0108795166015625,0.049747579370559625,1899786,55749,0.02934488410799953,0.04027777777777778
fp2,fp1,10-25%,25,0.14955869654414836,0.1400604248046875,0.114715576171875,0.2269439697265625,1638360,245031,0.14955870504650992,0.034722222222222224
fp2,fp1,25-50%,7,0.39038727688691105,0.428041690192428,0.25806451612903225,0.4831837880730025,458732,179083,0.39038697976160375,0.009722222222222222
fp2,fp1,5-10%,33,0.07461603665455858,0.07309477283829995,0.05001907377737087,0.0993194580078125,2161936,161314,0.07461552978441545,0.04583333333333333
fp2,fp1,>50%,7,0.6316504787199033,0.6034393310546875,0.5255584716796875,0.7626249523082793,458734,289758,0.6316470983184155,0.009722222222222222
